NVD-CWE-Other;1988;2017
CWE-119;1997;2018
CWE-264;1996;2018
CWE-189;2002;2018
CWE-200;1997;2018
CWE-20;1997;2018
CWE-310;2000;2018
CWE-134;2002;2018
CWE-94;1996;2018
CWE-352;2002;2018
CWE-79;2000;2018
NVD-CWE-noinfo;1994;2018
CWE-362;1999;2018
CWE-89;2002;2018
CWE-399;2000;2018
CWE-22;2001;2018
CWE-287;1999;2018
CWE-19;1999;2018
CWE-476;2005;2018
CWE-93;2007;2018
CWE-59;1999;2018
CWE-255;1997;2018
CWE-16;1999;2018
CWE-78;2002;2018
;2017;2018
CWE-254;2000;2018
CWE-125;2012;2018
CWE-426;2011;2018
CWE-284;2001;2018
CWE-90;2017;2018
CWE-190;2006;2018
CWE-434;2006;2018
CWE-824;2010;2018
CWE-17;1997;2018
CWE-611;2014;2018
CWE-369;2006;2018
CWE-388;2006;2018
CWE-798;2007;2018
CWE-704;2015;2018
CWE-295;2012;2018
CWE-74;2014;2018
CWE-118;2017;2018
CWE-275;2016;2018
CWE-129;2016;2018
CWE-682;2017;2018
CWE-601;2015;2018
CWE-532;2016;2018
CWE-416;2012;2018
CWE-400;2014;2018
CWE-918;2016;2018
CWE-384;2014;2018
CWE-331;2017;2018
CWE-502;2013;2018
CWE-285;2016;2018
CWE-77;2012;2018
CWE-415;2003;2018
CWE-769;2017;2018
CWE-613;2017;2018
CWE-320;2016;2018
CWE-417;2017;2018
CWE-787;2016;2018
CWE-754;2017;2018
CWE-21;2014;2018
CWE-91;2013;2018
CWE-346;2017;2018
CWE-428;2014;2018
CWE-326;2016;2018
CWE-345;2014;2018
CWE-347;2017;2018
CWE-306;2017;2018
CWE-330;2016;2018
CWE-123;2017;2018
CWE-361;2016;2018
CWE-327;2016;2018
CWE-407;2017;2018
CWE-534;2017;2018
CWE-338;2017;2018
CWE-640;2016;2018
CWE-358;2017;2018
CWE-113;2015;2018
CWE-427;2016;2018
CWE-943;2017;2017
CWE-191;2014;2018
CWE-371;2017;2017
CWE-88;2017;2018
CWE-444;2017;2018
CWE-552;2017;2018
CWE-749;2016;2018
CWE-297;2014;2018
CWE-485;2017;2017
CWE-99;2017;2017
CWE-404;2017;2018
CWE-116;2017;2018
CWE-693;2016;2018
CWE-332;2014;2018
CWE-1;2017;2017
CWE-538;2017;2018
CWE-172;2016;2018
CWE-669;2016;2016
CWE-199;2014;2017
CWE-184;2017;2018
CWE-18;2014;2017
CWE-664;2017;2017
CWE-775;2016;2016
CWE-441;2017;2018
CWE-185;2015;2018
CWE-913;2017;2017
CWE-665;2017;2018
CWE-269;2018;2018
CWE-755;2018;2018
CWE-862;2018;2018
CWE-522;2018;2018
CWE-732;2018;2018
CWE-772;2018;2018
CWE-863;2018;2018
CWE-829;2018;2018
CWE-774;2018;2018
CWE-835;2018;2018
CWE-1188;2018;2018
CWE-916;2018;2018
CWE-319;2018;2018
CWE-312;2018;2018
CWE-770;2018;2018
CWE-459;2018;2018
CWE-307;2018;2018
CWE-209;2018;2018
CWE-425;2018;2018
CWE-120;2018;2018
CWE-674;2018;2018
CWE-834;2018;2018
CWE-276;2018;2018
CWE-706;2018;2018
CWE-610;2018;2018
CWE-617;2018;2018
CWE-335;2018;2018
CWE-1021;2018;2018
CWE-521;2018;2018
CWE-281;2018;2018
CWE-494;2018;2018
CWE-294;2018;2018
CWE-252;2018;2018
CWE-924;2018;2018
CWE-311;2018;2018
CWE-909;2018;2018
CWE-642;2018;2018
CWE-405;2018;2018
CWE-668;2018;2018
CWE-273;2018;2018
CWE-639;2018;2018
CWE-398;2018;2018
CWE-915;2018;2018
CWE-290;2018;2018
CWE-436;2018;2018
CWE-707;2018;2018
CWE-367;2018;2018
CWE-178;2018;2018
CWE-203;2018;2018
